辽宁本地,#genre#
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226156/index.m3u8
辽宁北方,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227551/index.m3u8
辽宁都市,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227569/index.m3u8
辽宁公共,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227575/index.m3u8
辽宁教育青少,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227655/index.m3u8
辽宁经济,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227645/index.m3u8
辽宁生活,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227560/index.m3u8
辽宁体育休闲,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227642/index.m3u8
辽宁宜佳购物,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227557/index.m3u8
辽宁移动电视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227554/index.m3u8
辽宁影视剧,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227651/index.m3u8
沈阳新闻综合,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227563/index.m3u8
阜新教育,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227662/index.m3u8
阜新新闻综合,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227717/index.m3u8
盘锦都市,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227659/index.m3u8
盘锦新闻综合,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227751/index.m3u8



CCTV,#genre#
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227637/index.m3u8
CCTV2,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226178/index.m3u8
CCTV3,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227437/index.m3u8
CCTV4,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226176/index.m3u8
CCTV5+,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8
CCTV5,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227425/index.m3u8
CCTV6,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227422/index.m3u8
CCTV7,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8
CCTV8,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227431/index.m3u8
CCTV9,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226174/index.m3u8
CCTV10,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226184/index.m3u8
CCTV11,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227443/index.m3u8
CCTV12,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226183/index.m3u8
CCTV13,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227446/index.m3u8
CCTV14,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226182/index.m3u8
CCTV15,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227549/index.m3u8
CCTV16,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8
CCTV17,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226869/index.m3u8

CHC电影系列,#genre#
CHC动作电影,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227724/index.m3u8
CHC家庭影院,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227727/index.m3u8
CHC影迷电影,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227635/index.m3u8

CCTV风云系列,#genre#
CCTV兵器科技,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227647/index.m3u8
CCTV第一剧场,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227730/index.m3u8
CCTV电视指南,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227748/index.m3u8
CCTV风云剧场,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227736/index.m3u8
CCTV风云音乐,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227641/index.m3u8
CCTV风云足球,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227638/index.m3u8
CCTV高尔夫网球,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227715/index.m3u8
CCTV怀旧剧场,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227733/index.m3u8
CCTV女性时尚,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227742/index.m3u8
CCTV世界地理,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227739/index.m3u8
CCTV央视台球,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227711/index.m3u8
CCTV央视文化精品,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227644/index.m3u8
中央新影老故事,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227745/index.m3u8

卫视4K,#genre#
CCTV4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227623/index.m3u8
CCTV16_4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227709/index.m3u8
北京卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227629/index.m3u8
东方卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227539/index.m3u8
广东卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227712/index.m3u8
湖南卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227630/index.m3u8
江苏卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227627/index.m3u8
山东卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227621/index.m3u8
深圳卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227626/index.m3u8
四川卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227624/index.m3u8
浙江卫视4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227542/index.m3u8
咪视界4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227311/index.m3u8
至臻视界4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227393/index.m3u8


地方卫视,#genre#
安多卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227561/index.m3u8
安徽卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227567/index.m3u8
北京卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226195/index.m3u8
兵团卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227464/index.m3u8
重庆卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227580/index.m3u8
东方卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227476/index.m3u8
东南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227467/index.m3u8
甘肃卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227470/index.m3u8
广东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226167/index.m3u8
广西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227577/index.m3u8
贵州卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227564/index.m3u8
海南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227601/index.m3u8
河北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227592/index.m3u8
河南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227595/index.m3u8
黑龙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227583/index.m3u8
湖北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227518/index.m3u8
湖南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227589/index.m3u8
吉林卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227488/index.m3u8
江苏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227482/index.m3u8
江西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227598/index.m3u8
康巴卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227491/index.m3u8
内蒙古卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227585/index.m3u8
宁夏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227494/index.m3u8
农林卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227497/index.m3u8
青海卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227500/index.m3u8
三沙卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227610/index.m3u8
厦门卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227591/index.m3u8
山东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227509/index.m3u8
山西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227503/index.m3u8
陕西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227588/index.m3u8
深圳卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226136/index.m3u8
四川卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227579/index.m3u8
天津卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227582/index.m3u8
西藏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227533/index.m3u8
西藏卫视(藏语),http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227506/index.m3u8
新疆卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227604/index.m3u8
延边卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227607/index.m3u8
云南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227530/index.m3u8
浙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227485/index.m3u8
金鹰纪实,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227700/index.m3u8
金鹰卡通,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227648/index.m3u8
嘉佳卡通,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227672/index.m3u8
优漫卡通,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227676/index.m3u8
新动漫,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227706/index.m3u8
卡酷少儿,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226157/index.m3u8
快乐垂钓,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227632/index.m3u8
梨园频道,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227721/index.m3u8
文物宝库,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227718/index.m3u8
武术世界,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227708/index.m3u8
书画频道,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227650/index.m3u8
国学频道,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227653/index.m3u8
睛彩广场舞,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227590/index.m3u8
睛彩竞技,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227670/index.m3u8
睛彩篮球,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227673/index.m3u8
睛彩青少,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227587/index.m3u8

咪咕体育直播,#genre#
咪视界01,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227439/index.m3u8
咪视界02,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227409/index.m3u8
咪视界03,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227323/index.m3u8
咪视界04,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227387/index.m3u8
咪视界05,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227366/index.m3u8
咪视界06,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227369/index.m3u8
咪视界07,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227406/index.m3u8
咪视界08,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227320/index.m3u8
咪视界09,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227314/index.m3u8
咪视界10,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227308/index.m3u8
咪视界11,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227372/index.m3u8
咪视界12,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227317/index.m3u8
咪视界13,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227326/index.m3u8
咪视界14,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227412/index.m3u8
咪视界15,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227293/index.m3u8
咪视界16,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227375/index.m3u8
咪视界17,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227378/index.m3u8
咪视界18,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227302/index.m3u8
咪视界19,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227299/index.m3u8
咪视界20,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227390/index.m3u8
咪视界21,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227430/index.m3u8
咪视界22,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227433/index.m3u8
咪视界23,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227296/index.m3u8
咪视界24,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227442/index.m3u8
咪视界25,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227445/index.m3u8
咪视界26,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227448/index.m3u8
咪视界27,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227451/index.m3u8
咪视界28,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227305/index.m3u8
咪视界29,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227384/index.m3u8
咪视界30,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227436/index.m3u8
咪视界31,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227381/index.m3u8
咪视界32,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227427/index.m3u8


沈阳移动,#genre#
4K测试[3840x1920],http://39.134.61.219/PLTV/88888888/224/3221227053/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226415/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226443/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221227090/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221226417/index.m3u8
