央视频道,#genre#
CCTV1,http://111.61.214.160:7788/608807420
CCTV1,http://120.4.126.153:1234/608807420
CCTV1,http://117.15.157.81:1234/608807420
CCTV1,http://183.184.48.235:9003/hls/1/index.m3u8
CCTV1,http://61.161.61.119:9004/hls/1/index.m3u8
CCTV1,http://113.232.12.186:1234/608807420
CCTV2,http://111.61.214.160:7788/631780532
CCTV2,http://120.4.126.153:1234/631780532
CCTV2,http://117.15.157.81:1234/631780532
CCTV2,http://183.184.48.235:9003/hls/2/index.m3u8
CCTV2,http://61.161.61.119:9004/hls/2/index.m3u8
CCTV2,http://113.232.12.186:1234/631780532
CCTV3,http://111.61.214.160:7788/624878271
CCTV3,http://120.4.126.153:1234/624878271
CCTV3,http://117.15.157.81:1234/624878271
CCTV3,http://61.161.61.119:9004/hls/3/index.m3u8
CCTV3,http://113.232.12.186:1234/624878271
CCTV4,http://111.61.214.160:7788/631780421
CCTV4,http://120.4.126.153:1234/631780421
CCTV4,http://117.15.157.81:1234/631780421
CCTV4,http://61.161.61.119:9004/hls/4/index.m3u8
CCTV4,http://113.232.12.186:1234/631780421
CCTV4欧洲,http://111.61.214.160:7788/608807419
CCTV4欧洲,http://120.4.126.153:1234/608807419
CCTV4欧洲,http://117.15.157.81:1234/608807419
CCTV4欧洲,http://113.232.12.186:1234/608807419
CCTV4美洲,http://111.61.214.160:7788/608807416
CCTV4美洲,http://120.4.126.153:1234/608807416
CCTV4美洲,http://117.15.157.81:1234/608807416
CCTV4美洲,http://113.232.12.186:1234/608807416
CCTV5,http://111.61.214.160:7788/641886683
CCTV5,http://120.4.126.153:1234/641886683
CCTV5,http://117.15.157.81:1234/641886683
CCTV5,http://61.161.61.119:9004/hls/6/index.m3u8
CCTV5,http://113.232.12.186:1234/641886683
CCTV5+,http://114.241.105.149:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV5+,http://61.161.61.119:9004/hls/7/index.m3u8
CCTV5+,http://114.245.198.169:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV6,http://111.61.214.160:7788/624878396
CCTV6,http://120.4.126.153:1234/624878396
CCTV6,http://117.15.157.81:1234/624878396
CCTV6,http://61.161.61.119:9004/hls/8/index.m3u8
CCTV6,http://113.232.12.186:1234/624878396
CCTV7,http://111.61.214.160:7788/673168121
CCTV7,http://120.4.126.153:1234/673168121
CCTV7,http://117.15.157.81:1234/673168121
CCTV7,http://61.161.61.119:9004/hls/9/index.m3u8
CCTV7,http://113.232.12.186:1234/673168121
CCTV8,http://111.61.214.160:7788/624878356
CCTV8,http://120.4.126.153:1234/624878356
CCTV8,http://117.15.157.81:1234/624878356
CCTV8,http://61.161.61.119:9004/hls/10/index.m3u8
CCTV8,http://113.232.12.186:1234/624878356
CCTV9,http://111.61.214.160:7788/673168140
CCTV9,http://120.4.126.153:1234/673168140
CCTV9,http://117.15.157.81:1234/673168140
CCTV9,http://61.161.61.119:9004/hls/11/index.m3u8
CCTV9,http://113.232.12.186:1234/673168140
CCTV10,http://111.61.214.160:7788/624878405
CCTV10,http://120.4.126.153:1234/624878405
CCTV10,http://117.15.157.81:1234/624878405
CCTV10,http://61.161.61.119:9004/hls/12/index.m3u8
CCTV10,http://113.232.12.186:1234/624878405
CCTV11,http://111.61.214.160:7788/667987558
CCTV11,http://120.4.126.153:1234/667987558
CCTV11,http://117.15.157.81:1234/667987558
CCTV11,http://61.161.61.119:9004/hls/13/index.m3u8
CCTV11,http://113.232.12.186:1234/667987558
CCTV12,http://111.61.214.160:7788/673168185
CCTV12,http://120.4.126.153:1234/673168185
CCTV12,http://117.15.157.81:1234/673168185
CCTV12,http://61.161.61.119:9004/hls/14/index.m3u8
CCTV12,http://113.232.12.186:1234/673168185
CCTV13,http://111.61.214.160:7788/608807423
CCTV13,http://120.4.126.153:1234/608807423
CCTV13,http://117.15.157.81:1234/608807423
CCTV13,http://61.161.61.119:9004/hls/15/index.m3u8
CCTV13,http://113.232.12.186:1234/608807423
CCTV14,http://111.61.214.160:7788/624878440
CCTV14,http://120.4.126.153:1234/624878440
CCTV14,http://117.15.157.81:1234/624878440
CCTV14,http://113.232.12.186:1234/624878440
CCTV15,http://111.61.214.160:7788/673168223
CCTV15,http://120.4.126.153:1234/673168223
CCTV15,http://117.15.157.81:1234/673168223
CCTV15,http://113.232.12.186:1234/673168223
CETV1,http://111.61.214.160:7788/923287154
CETV1,http://120.4.126.153:1234/923287154
CETV1,http://117.15.157.81:1234/923287154
CETV1,http://113.232.12.186:1234/923287154
CETV2,http://111.61.214.160:7788/923287211
CETV2,http://120.4.126.153:1234/923287211
CETV2,http://117.15.157.81:1234/923287211
CETV2,http://113.232.12.186:1234/923287211
CETV4,http://111.61.214.160:7788/923287339
CETV4,http://120.4.126.153:1234/923287339
CETV4,http://117.15.157.81:1234/923287339
CETV4,http://113.232.12.186:1234/923287339
CGTN,http://111.61.214.160:7788/609017205
CGTN,http://120.4.126.153:1234/609017205
CGTN,http://117.15.157.81:1234/609017205
CGTN,http://113.232.12.186:1234/609017205
CGTN俄语,http://111.61.214.160:7788/609006446
CGTN俄语,http://120.4.126.153:1234/609006446
CGTN俄语,http://117.15.157.81:1234/609006446
CGTN俄语,http://113.232.12.186:1234/609006446
CGTN法语,http://111.61.214.160:7788/609006476
CGTN法语,http://120.4.126.153:1234/609006476
CGTN法语,http://117.15.157.81:1234/609006476
CGTN法语,http://113.232.12.186:1234/609006476

中数传媒,#genre#
CHC影迷电影,http://111.61.214.160:7788/952383261
CHC影迷电影,http://120.4.126.153:1234/952383261
CHC影迷电影,http://117.15.157.81:1234/952383261
CHC影迷电影,http://113.232.12.186:1234/952383261
CHC家庭影院,http://111.61.214.160:7788/644368373
CHC家庭影院,http://120.4.126.153:1234/644368373
CHC家庭影院,http://117.15.157.81:1234/644368373
CHC家庭影院,http://113.232.12.186:1234/644368373
CHC动作电影,http://111.61.214.160:7788/644368714
CHC动作电影,http://120.4.126.153:1234/644368714
CHC动作电影,http://117.15.157.81:1234/644368714
CHC动作电影,http://113.232.12.186:1234/644368714
梨园频道,http://111.61.214.160:7788/961930369
梨园频道,http://120.4.126.153:1234/961930369
梨园频道,http://117.15.157.81:1234/961930369
梨园频道,http://113.232.12.186:1234/961930369
中学生,http://111.61.214.160:7788/708869532
中学生,http://120.4.126.153:1234/708869532
中学生,http://117.15.157.81:1234/708869532
中学生,http://113.232.12.186:1234/708869532
武术世界,http://111.61.214.160:7788/958475359
武术世界,http://120.4.126.153:1234/958475359
武术世界,http://117.15.157.81:1234/958475359
武术世界,http://113.232.12.186:1234/958475359
发现之旅,http://111.61.214.160:7788/624878970
发现之旅,http://120.4.126.153:1234/624878970
发现之旅,http://117.15.157.81:1234/624878970
发现之旅,http://61.161.61.119:9004/hls/82/index.m3u8
发现之旅,http://113.232.12.186:1234/624878970
环球旅游,http://111.61.214.160:7788/958475356
环球旅游,http://120.4.126.153:1234/958475356
